   Gen     Avg_len    Best_len     Best_path
   136     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   137     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   138     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   139     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   140     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   141     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   142     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   143     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   144     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   145     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   146     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   147     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   148     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   149     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   150     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   151     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   152     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   153     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
   154     5.08501     5.08501     0 17 30 19 6 29 3 31 22 21 20 1 32 18 28 26 4 24 27 5 12 16 15 2 13 8 7 23 10 9 25 33 14 11 0
